scope,aggregation,subset,metric,composite_seed,ocm_minus_rast,task_count,engine_count,interpretation
FD001-FD003 development-task-excluded,task-specific,FD001,rmse,42,0.1586657093368231,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD001,rmse,123,-2.453476488107775,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD001,rmse,2024,-1.0176548414866833,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD001,rmse,2025,-0.8226257793209104,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD001,rmse,2026,0.10417614679777287,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD002,rmse,42,-0.5808090645529909,1,259,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD002,rmse,123,0.9751536259524496,1,259,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD002,rmse,2024,-0.5886861926607594,1,259,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD002,rmse,2025,-0.8913349347777277,1,259,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD002,rmse,2026,-0.21344125842931838,1,259,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD003,rmse,42,0.8820647296595503,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD003,rmse,123,-0.1798275406903791,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD003,rmse,2024,2.2610292715354756,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD003,rmse,2025,-0.4224394466713015,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,task-specific,FD003,rmse,2026,0.7773443547419419,1,100,descriptive paired seed effect; no task-population inference
FD001-FD003 development-task-excluded,equal-task macro,FD001-FD003,rmse,42,0.15330712481446085,3,459,descriptive fixed-task aggregation; tasks are not resampled
FD001-FD003 development-task-excluded,engine-pooled recomputation,FD001-FD003,rmse,42,-0.1694173445726399,3,459,descriptive fixed-task aggregation; tasks are not resampled
FD001-FD003 development-task-excluded,equal-task macro,FD001-FD003,rmse,123,-0.5527168009485681,3,459,descriptive fixed-task aggregation; tasks are not resampled
